url,name,category_code,date_added,date_published,data_format_version,source,authority,notes
betlm.eu,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betngo.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betonline247.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betpassion.biz,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betpassion.co,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betpassion.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betpassion.eu,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betpassion.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betpassion.org,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betpassion.uno,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betpkcasino.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betpkcasino.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betport.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betrally.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betrallyit.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betrallyit1.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betrallyit2.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betrallysport.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betrebels.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betrebels.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betredkings.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betrelax.org,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betscommesseitalia.myblog.it,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betsevenstar.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betspicy.biz,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betspicy.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betspicy.eu,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betspicy.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betssonit.casinopokerbet.eu,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betssonitalia.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betting.betfair.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betting.dbgpoker.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betting.dbgpoker.eu,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betting.dbgpoker.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betting.goalwin.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betting24win.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bettingrace.betpassion.uno,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
