url,category_code,category_description
http://www.el-heraldo-bajio.com.mx,FEXP,Free expression and media freedom
http://www.el-mexicano.com.mx,FEXP,Free expression and media freedom
http://www.elboomeran.com/blog/175/agresiones-cotidianas-blog-de-sanjuana-martinez/,FEXP,Free expression and media freedom
http://www.eldiariodechihuahua.com.mx,FEXP,Free expression and media freedom
http://www.eldiariodecoahuila.com.mx,FEXP,Free expression and media freedom
http://www.elnuevosiglo.com.mx,FEXP,Free expression and media freedom
http://www.elorbe.com.mx,FEXP,Free expression and media freedom
http://www.elporvenir.com.mx,FEXP,Free expression and media freedom
http://www.elregio.com/site/index.php,FEXP,Free expression and media freedom
http://www.elsiglodedurango.com.mx,FEXP,Free expression and media freedom
http://www.elsur.com.mx,FEXP,Free expression and media freedom
http://www.eluniversal.com.mx/noticias.html,FEXP,Free expression and media freedom
http://www.enfoqueinformativo.com,FEXP,Free expression and media freedom
http://www.espora.org/jar/,FEXP,Free expression and media freedom
http://www.espora.org/klat/,FEXP,Free expression and media freedom
http://www.excelsiorinternet.com,FEXP,Free expression and media freedom
http://www.florafaunaycultura.org,ENV,Environment
http://www.fondopaz.org,MINR,Minority rights and ethnic content
http://www.frayba.org.mx/acciones_urgentes.php,HUMR,Human rights
http://www.frayba.org.mx/denuncias.php,HUMR,Human rights
http://www.frayba.org.mx/index.php,HUMR,Human rights
http://www.frayba.org.mx/informes.php,HUMR,Human rights
http://www.frontera.info,FEXP,Free expression and media freedom
http://www.fuerzaciudadana.org.mx,POLT,Political transformation
http://www.fuerzaciudadana.org.mx/forojuvenil/FORO%20JUVENIL%202005-20061.pdf,POLT,Political transformation
http://www.fuerzaciudadana.org.mx/haciendo/propuesta.html,POLT,Political transformation
http://www.fuerzaciudadana.org.mx/noticias/index.html,POLT,Political transformation
http://www.fuerzaciudadana.org.mx/universitarios/index.html,POLT,Political transformation
http://www.fzln.org.mx,MILX,"Militants, extremists and separatists"
http://www.fzln.org.mx/grupos-guerrilleros-en-mexico,MILX,"Militants, extremists and separatists"
http://www.impactolegislativo.org.mx/sitio/,FREL,Foreign relations and military
http://www.imparcialenlinea.com,FEXP,Free expression and media freedom
http://www.informador.com.mx/informador/,FEXP,Free expression and media freedom
http://www.intoleranciadiario.com,FEXP,Free expression and media freedom
http://www.johnackerman.blogspot.com,FEXP,Free expression and media freedom
http://www.jornada.unam.mx,FEXP,Free expression and media freedom
http://www.jps.org.mx,POLT,Political transformation
http://www.jps.org.mx/documentos/index.html,POLT,Political transformation
http://www.jps.org.mx/documentos/llamamiento.html,POLT,Political transformation
http://www.kehuelga.org/stream.m3u,FEXP,Free expression and media freedom
http://www.lacrisis.com.mx,FEXP,Free expression and media freedom
http://www.lacronica.com,FEXP,Free expression and media freedom
http://www.lajornadamorelos.com,FEXP,Free expression and media freedom
http://www.laneta.apc.org/cidhmor/,HUMR,Human rights
http://www.laneta.apc.org/cidhmor/agenda-mujeres.html,HUMR,Human rights
http://www.laneta.apc.org/cidhmor/noticias.html,HUMR,Human rights
http://www.laneta.apc.org/sinfronteras/,HUMR,Human rights
http://www.lasnoticiasmexico.com,FEXP,Free expression and media freedom
http://www.launion.com.mx,FEXP,Free expression and media freedom
http://www.metamorfosis.org.mx,HUMR,Human rights
http://www.mexicodenuncia.org,FEXP,Free expression and media freedom
http://www.mexicodenuncia.org/alertas.html,FEXP,Free expression and media freedom
http://www.mexicodenuncia.org/amenazas.html,FEXP,Free expression and media freedom
http://www.mexicodenuncia.org/apoyo.html,FEXP,Free expression and media freedom
http://www.mexicodenuncia.org/extorsion.html,FEXP,Free expression and media freedom
http://www.mexicodenuncia.org/hermandad.html,FEXP,Free expression and media freedom
http://www.mexicodenuncia.org/index1.htm,FEXP,Free expression and media freedom
http://www.mexicodenuncia.org/informes.html,FEXP,Free expression and media freedom
http://www.mexicodenuncia.org/pfp.html,FEXP,Free expression and media freedom
http://www.mexicodenuncia.org/prensa.html,FEXP,Free expression and media freedom
http://www.mexicodenuncia.org/registros.html,FEXP,Free expression and media freedom
http://www.mexicodenuncia.org/victimas.html,FEXP,Free expression and media freedom
http://www.mexicounido.org.mx,HUMR,Human rights
http://www.mexicounido.org.mx/investigacionmegatendencias.html,HUMR,Human rights
http://www.mexicounido.org.mx/investigacionpaginas.html,HUMR,Human rights
http://www.milenio.com/index.php?c=mexico/,FEXP,Free expression and media freedom
http://www.mujeres.amnistia.org.mx/section.php?name=ciudadjuarez,WOMR,Women's rights
http://www.mujeres.amnistia.org.mx/section.php?name=home,WOMR,Women's rights
http://www.mujeres.amnistia.org.mx/section.php?name=informes_23112004,WOMR,Women's rights
http://www.mujeresdejuarez.org,POLT,Political transformation
http://www.natlaw.com/mexico/diario/diario.htm,FEXP,Free expression and media freedom
http://www.nortedeciudadjuarez.com,FEXP,Free expression and media freedom
http://www.nueva-alianza.org.mx,POLT,Political transformation
http://www.nueva-alianza.org.mx/index.asp?action=content.main&cID=51,POLT,Political transformation
http://www.oem.com.mx/elsoldelcentro/default.aspx,FEXP,Free expression and media freedom
http://www.oem.com.mx/elsoldemexico/default.aspx,FEXP,Free expression and media freedom
http://www.oem.com.mx/elsoldeparral/default.aspx,FEXP,Free expression and media freedom
http://www.oem.com.mx/elsoldetijuana/default.aspx,FEXP,Free expression and media freedom
http://www.oem.com.mx/elsudcaliforniano/default.aspx,FEXP,Free expression and media freedom
http://www.oem.com.mx/laprensa/default.aspx,FEXP,Free expression and media freedom
http://www.oem.com.mx/lavozdelafrontera/default.aspx,FEXP,Free expression and media freedom
http://www.opinion.com.mx,FEXP,Free expression and media freedom
http://www.paginasprodigy.com/jramond/index.html,HUMR,Human rights
http://www.palabra.com,FEXP,Free expression and media freedom
http://www.pan.org.mx,POLT,Political transformation
http://www.pan.org.mx/?P=documentos,POLT,Political transformation
http://www.pan.org.mx/?P=podcast,POLT,Political transformation
http://www.pan.org.mx/?P=revista_nacion,POLT,Political transformation
http://www.pan.org.mx/nacion/2284.pdf.zip,POLT,Political transformation
http://www.pan.org.mx/nacion/2301.pdf.zip,POLT,Political transformation
http://www.periodicoavance.com,FEXP,Free expression and media freedom
http://www.ppsdemexico.org,POLT,Political transformation
http://www.ppsdemexico.org/documentos/index.html,POLT,Political transformation
http://www.ppsdemexico.org/teoriaypractica/index.html,POLT,Political transformation
http://www.ppsm.org.mx,POLT,Political transformation
http://www.ppsm.org.mx/comunistas/index.html,POLT,Political transformation
http://www.ppsm.org.mx/rebeldia/index.html,POLT,Political transformation
http://www.prd.org.mx,POLT,Political transformation
http://www.prd.org.mx/index.php?option=com_content&task=category&sectionid=2&id=15&Itemid=29,POLT,Political transformation
http://www.pri.org.mx/LaRepublicaGeneral/conArticuloPrincipal.aspx?p=&s=,POLT,Political transformation
http://www.pri.org.mx/ReconstruccionXXI/default.aspx,POLT,Political transformation
http://www.pri.org.mx/ReconstruccionXXI/Elecciones/Informe_Elecciones.pdf,POLT,Political transformation
http://www.pri.org.mx/ReconstruccionXXI/NuestroPartido/DocumentosBasicos/documentosbasicos.aspx,POLT,Political transformation
http://www.pri.org.mx/ReconstruccionXXI/Publicaciones/Examen.aspx,POLT,Political transformation
http://www.pt-tamaulipas.org,POLT,Political transformation
http://www.pt-tamaulipas.org/docbasicos.pdf,POLT,Political transformation
http://www.pt.org.mx,POLT,Political transformation
http://www.puebla.sintesisdigital.net,FEXP,Free expression and media freedom
http://www.pvem.org.mx/web/,POLR,Political reform
http://www.pvem.org.mx/web/index.php?option=com_content&task=section&id=4&Itemid=43,POLR,Political reform
http://www.pvem.org.mx/web/index.php?option=com_content&task=view&id=5&Itemid=6,POLR,Political reform
http://www.pvem.org.mx/web/index.php?option=com_wrapper&Itemid=87,POLR,Political reform
http://www.quequedeclaro.org.mx/home/,WOMR,Women's rights
http://www.radiopacheco.org,FEXP,Free expression and media freedom
http://www.radiozapatista.org,FEXP,Free expression and media freedom
http://www.redtdt.org.mx/wwwf/acciones.php,HUMR,Human rights
http://www.redtdt.org.mx/wwwf/boletines.php,HUMR,Human rights
http://www.redtdt.org.mx/wwwf/index.php,HUMR,Human rights
http://www.redtdt.org.mx/wwwf/informes.php,HUMR,Human rights
http://www.reforma.com,FEXP,Free expression and media freedom
http://www.revistarebeldia.org,FEXP,Free expression and media freedom
http://www.revistarebeldia.org/html/descargas/rebeldia_41.pdf,FEXP,Free expression and media freedom
http://www.revistarebeldia.org/html/descargas/rebeldia_42.pdf,FEXP,Free expression and media freedom
http://www.revistarebeldia.org/html/descargas/rebeldia_43.pdf,FEXP,Free expression and media freedom
http://www.rmalc.org.mx/documentos.htm,FREL,Foreign relations and military
http://www.rmalc.org.mx/index.shtml,FREL,Foreign relations and military
http://www.rmalc.org.mx/libros.htm,FREL,Foreign relations and military
http://www.rmalc.org.mx/prensa.htm,FREL,Foreign relations and military
http://www.sipaz.org,HUMR,Human rights
http://www.sipaz.org/crono/procesp.htm,HUMR,Human rights
http://www.sipaz.org/documentos/docs_esp.htm,HUMR,Human rights
http://www.sipaz.org/documentos/docs_esp.htm#ACTEAL,HUMR,Human rights
http://www.sipaz.org/documentos/docs_esp.htm#DESPLA,HUMR,Human rights
http://www.sipaz.org/documentos/docs_esp.htm#MILI,HUMR,Human rights
http://www.sipaz.org/gfini_esp.htm,HUMR,Human rights
http://www.sipaz.org/gro_problem/problem_idxs.htm,HUMR,Human rights
http://www.sipaz.org/informes/inf_esp.htm,HUMR,Human rights
http://www.sipaz.org/oax_problem/docs/info_oax0710.pdf,HUMR,Human rights
http://www.sipaz.org/oax_problem/oproblem_idx.html,HUMR,Human rights
http://www.sitio.de/presospoliticos/,HUMR,Human rights
http://www.tiempoenlinea.com.mx,FEXP,Free expression and media freedom
http://www.tribunacampeche.com,FEXP,Free expression and media freedom
http://www.unidad.org.mx,POLT,Political transformation
http://www.unidad.org.mx/unidad_old,POLT,Political transformation
http://www.unomasuno.com.mx,FEXP,Free expression and media freedom
http://www.vozdemichoacan.com.mx,FEXP,Free expression and media freedom
http://www.zocalo.com.mx,FEXP,Free expression and media freedom
https://mexicanosalgrito.wordpress.com,FEXP,Free expression and media freedom
https://sanjuancopalaoaxaca.wordpress.com,FEXP,Free expression and media freedom
https://video.indymedia.org/en/2007/04/800.shtml,FEXP,Free expression and media freedom
