url,category_code,category_description
http://ru.wikipedia.org/wiki/%d0%97%d0%b0%d0%b3%d0%bb%d0%b0%d0%b2%d0%bd%d0%b0%d1%8f_%d1%81%d1%82%d1%80%d0%b0%d0%bd%d0%b8%d1%86%d0%b0,HAL,"History, arts and literature"
http://ru.wikipedia.org/wiki/%d0%9a%d1%83%d1%80%d0%b5%d0%bd%d0%b8%d0%b5_%d0%ba%d0%b0%d0%bd%d0%bd%d0%b0%d0%b1%d0%b8%d1%81%d0%b0,ALDR,Alcohol and drugs
http://ru.wikipedia.org/wiki/%d0%9f%d0%be%d0%bb%d0%bd%d0%be%d0%b5_%d1%80%d1%83%d0%ba%d0%be%d0%b2%d0%be%d0%b4%d1%81%d1%82%d0%b2%d0%be_%d0%bf%d0%be_%d1%81%d0%b0%d0%bc%d0%be%d1%83%d0%b1%d0%b8%d0%b9%d1%81%d1%82%d0%b2%d1%83,HAL,"History, arts and literature"
http://ru.wikipedia.org/wiki/%d1%e0%ec%ee%f1%ee%e6%e6%e5%ed%e8%e5,HAL,"History, arts and literature"
http://rublacklist.net,FEXP,Free expression and media freedom
http://rutor.org,P2P,Peer-to-peer computing
http://rutracker.org,HOST,Web hosting sites and portals
http://rwaho.wordpress.com,GAYL,Gay-lesbian
http://s-mahat.ru,HATE,Hate speech
http://sale-smoke.com,ALDR,Alcohol and drugs
http://semyanich.co,ALDR,Alcohol and drugs
http://seyfullah.tauhid.biz,HATE,Hate speech
http://shopmixes.com,ALDR,Alcohol and drugs
http://sibspice.biz,ALDR,Alcohol and drugs
http://slon.ru,FEXP,Free expression and media freedom
http://soprotivlenie.marsho.net,MILX,"Militants, extremists and separatists"
http://squarespace.com,HOST,Web hosting sites and portals
http://tor4.su,PORN,Pornography
http://tvrain.ru,FEXP,Free expression and media freedom
http://ufa.realstaf.com,ALDR,Alcohol and drugs
http://uncyclopedia.wikia.com/wiki/main_page,FEXP,Free expression and media freedom
http://vdagestan.com,MILX,"Militants, extremists and separatists"
http://vdagestan.info,MILX,"Militants, extremists and separatists"
http://video-one.com,PORN,Pornography
http://vk.com,MINR,Minority rights and ethnic content
http://vk.com/minitrue,FEXP,Free expression and media freedom
http://vresearche.com,ALDR,Alcohol and drugs
http://weedhash.biz,ALDR,Alcohol and drugs
http://www.akmshalom.com,MISC,Miscellaneous
http://www.amnestyusa.org/sites/default/custom-scripts/russia/,HUMR,Human rights
http://www.antifa.com.ua,MISC,Miscellaneous
http://www.avtoazov.com.ua,COMM,E-commerce
http://www.bakerlawfirm.com,COMM,E-commerce
http://www.business-humanrights.org/documents/russia_human_rights_abuses_2014_winter_olympic_games,HUMR,Human rights
http://www.casinoking.com,GMB,Gambling
http://www.chechentimes.net,COMM,E-commerce
http://www.daymohk.org,MILX,"Militants, extremists and separatists"
http://www.dishisvobodno.ru,ENV,Environment
http://www.eliberator.ru,FEXP,Free expression and media freedom
http://www.fank.ru,PORN,Pornography
http://www.gay.ru,FEXP,Free expression and media freedom
http://www.gaynews.ru,FEXP,Free expression and media freedom
http://www.gayrussia.eu,GAYL,Gay-lesbian
http://www.gazeta.ru,FEXP,Free expression and media freedom
http://www.globalequality.org/newsroom/latest-news/1-in-the-news/186-the-facts-on-lgbt-rights-in-russia,GAYL,Gay-lesbian
http://www.goldfishka.com,GMB,Gambling
http://www.gulag.ipvnews.org,HUMR,Human rights
http://www.hateit.ru,HATE,Hate speech
http://www.hro.org,FEXP,Free expression and media freedom
http://www.hrw.org/node/113248,HUMR,Human rights
http://www.hrw.org/people-and-power-2014-sochi-olympics,HUMR,Human rights
http://www.hunafa.com,MILX,"Militants, extremists and separatists"
http://www.ichkeria.info,FEXP,Free expression and media freedom
http://www.indiegogo.com/projects/know-sochi-olympics-on-the-land-of-genocide,HUMR,Human rights
http://www.islamdin.biz,HATE,Hate speech
http://www.islamdin.com,HATE,Hate speech
http://www.islamdin.tv,HATE,Hate speech
http://www.ispovednik.com,REL,"Religious conversion, commentary and criticism"
http://www.jw.org/en/,MINF,Minority faiths
http://www.kasparov.ru,FEXP,Free expression and media freedom
http://www.kavkazcenter.com,MILX,"Militants, extremists and separatists"
http://www.kavkazcenter.net,MILX,"Militants, extremists and separatists"
http://www.kavkazchat.com,REL,"Religious conversion, commentary and criticism"
http://www.kavkazweb.net,FEXP,Free expression and media freedom
http://www.kazak-chita.ru,POLR,Political reform
http://www.lgbt-ep.eu/tag/russia/,GAYL,Gay-lesbian
http://www.lgbtnet.ru/en,GAYL,Gay-lesbian
http://www.lotoru.com,GMB,Gambling
http://www.mashina.org,FEXP,Free expression and media freedom
http://www.mhg.ru,POLT,Political transformation
http://www.minjust.net,FEXP,Free expression and media freedom
http://www.mirzayanov.com,MINR,Minority rights and ethnic content
http://www.moscowpride.ru,GAYL,Gay-lesbian
http://www.narkop.com,ALDR,Alcohol and drugs
http://www.narkotiki.name,ALDR,Alcohol and drugs
http://www.national-socialist.tk,HATE,Hate speech
http://www.ng.ru,FEXP,Free expression and media freedom
http://www.nosochi2014.com/articles/1864-2014-circassian-genocide-olympics.php,HUMR,Human rights
http://www.nosochi2014.com/index.php,HUMR,Human rights
http://www.nuruddin-info.blogspot.com,MILX,"Militants, extremists and separatists"
http://www.owl.ru,WOMR,Women's rights
http://www.partypoker.net,GMB,Gambling
http://www.porjati.net,MMED,Multimedia sharing
http://www.putin-itogi.ru,FEXP,Free expression and media freedom
http://www.rabidshare.info,HATE,Hate speech
http://www.radosvet.net,REL,"Religious conversion, commentary and criticism"
http://www.resistance88.com,MINR,Minority rights and ethnic content
http://www.reuters.com/article/2010/03/21/russia-olympics-protest-iduslde62k02s20100321,FEXP,Free expression and media freedom
http://www.rollitup.org,ALDR,Alcohol and drugs
http://www.russiafreedomfund.org,GAYL,Gay-lesbian
http://www.russiancasino.com,GMB,Gambling
http://www.russianopengames.ru,GAYL,Gay-lesbian
http://www.samsunggalaxynote2.info,COMM,E-commerce
http://www.seedjah.com,ALDR,Alcohol and drugs
http://www.shamilonline.org,MILX,"Militants, extremists and separatists"
http://www.shram.kiev.ua,SRCH,Search engines
http://www.sovinform.ru,POLT,Political transformation
http://www.ssdv.ru,COMM,E-commerce
http://www.svoboda.org,FEXP,Free expression and media freedom
http://www.thiru.com.sg,COMM,E-commerce
http://www.velesova-sloboda.org,HAL,"History, arts and literature"
http://www.visatovietnam.us,COMM,E-commerce
http://www.weedy.be,ALDR,Alcohol and drugs
http://www.wikia.com/wikia,HOST,Web hosting sites and portals
http://www.wuor.ru,WOMR,Women's rights
http://www.yabloko.ru,POLT,Political transformation
http://www.yandex.ru,FEXP,Free expression and media freedom
http://xn--80aaifmgl1achx.xn--p1ai,GMB,Gambling
http://yesche.biz,ALDR,Alcohol and drugs
http://zabormozga.com,ALDR,Alcohol and drugs
http://zhurnal.lib.ru,MISC,Miscellaneous
https://jahforum.org,ALDR,Alcohol and drugs
https://twitter.com/rulgbtnet,GAYL,Gay-lesbian
https://www.facebook.com/boycottsochi2014,HUMR,Human rights
https://www.facebook.com/lgbt.russia,GAYL,Gay-lesbian
https://www.facebook.com/nosochi2014,HUMR,Human rights
