status,url,category_code,category_description,date_added,source,notes
ARV,https://www.pinnacle.com/zh-tw/,GMB,Gambling,2020-07-20,Netalitica,
Err,https://www.playamo.com/zh-CN/,GMB,Gambling,2020-07-20,Netalitica,
ARV,https://www.vegascasinoonline.eu/index.php/,GMB,Gambling,2020-07-20,Netalitica,
ARV,https://www.gov.hk/,GOVT,Government,2019-08-30,OONI partner,
ARV,https://www.police.gov.hk/,GOVT,Government,2019-08-30,OONI partner,
Err,http://www.hko.gov.hk/en/index.html/,GOVT,Government,2020-07-08,Netalitica,
ARV,https://www.cedb.gov.hk/citb/,GOVT,Government,2020-07-08,Netalitica,
Err,https://www.ceo.gov.hk/chi/index.html/,GOVT,Government,2020-07-08,Netalitica,
Err,https://www.eoc.org.hk/,GOVT,Government,2020-07-08,Netalitica,
ARV,https://www.hkpc.org/zh-HK/,GOVT,Government,2020-07-08,Netalitica,
ARV,https://www.immd.gov.hk/,GOVT,Government,2020-07-08,Netalitica,
Err,https://www.judiciary.hk/zh/home/index.html/,GOVT,Government,2020-07-08,Netalitica,
ARV,https://www.landsd.gov.hk/,GOVT,Government,2020-07-08,Netalitica,
ARV,https://www.tid.gov.hk/,GOVT,Government,2020-07-08,Netalitica,
ARV,https://www.wfsfaa.gov.hk/tc/index.htm/,GOVT,Government,2020-07-08,Netalitica,
Err,https://www.wsd.gov.hk/tc/home/index.html/,GOVT,Government,2020-07-08,Netalitica,
ARV,http://www.itf.gov.hk/en/home/index.html/,GOVT,Government,2020-07-09,Netalitica,
Err,https://fbl.itb.gov.hk/,GOVT,Government,2020-07-09,Netalitica,
Err,https://www.hkeconomy.gov.hk/tc/home/index.htm/,GOVT,Government,2020-07-09,Netalitica,
Err,https://www.sie.gov.hk/tc/,GOVT,Government,2020-07-09,Netalitica,
Err,https://www.bd.gov.hk/tc/index.html/,GOVT,Government,2020-07-09,Netalitica,
ARV,https://www.cad.gov.hk/,GOVT,Government,2020-07-09,Netalitica,
Err,https://www.cmab.gov.hk/en/home/index.htm/,GOVT,Government,2020-07-09,Netalitica,
ARV,https://www.had.gov.hk/,GOVT,Government,2020-07-09,Netalitica,
ARV,https://www.hkhs.com/,GOVT,Government,2020-07-09,Netalitica,
Err,https://www.housingauthority.gov.hk/tc/index.html/,GOVT,Government,2020-07-09,Netalitica,
Err,https://www.legco.gov.hk/index.html/,GOVT,Government,2020-07-09,Netalitica,
ARV,https://www.ombudsman.hk/,GOVT,Government,2020-07-09,Netalitica,
ARV,https://www.swd.gov.hk/tc/index/,GOVT,Government,2020-07-09,Netalitica,
ARV,https://www.ura.org.hk/en/,GOVT,Government,2020-07-09,Netalitica,
Err,https://www.news.gov.hk/chi/index.html/,GOVT,Government,2020-07-21,Netalitica,
ARV,https://www.epd.gov.hk/,GOVT,Government,2022-07-10,Netalitica,
ARV,https://www.wastereduction.gov.hk/tc/index.htm/,GOVT,Government,2022-07-10,Netalitica,
